id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
d3570dc0-8912-4e71-bb7d-fcf8196d50ce,474170,T,W,2025-05-13,online
e606daba-ffa8-404b-accd-b9e558eda933,55223,T,W,2025-05-13,online
c15d5024-a442-48fe-9b97-795b8cd04ee0,214436,T,W,2025-05-13,online
fd8d7a68-f1f3-4eb3-a3bb-46fbd53b6822,494711,T,W,2025-05-13,online
6db5ecb9-6d62-466e-8c13-46a1bb63a323,122062,T,W,2025-05-13,online
1afa82a0-d002-40cc-9cd9-e0bee32c9b4b,162271,T,W,2025-05-13,online
38cab0dc-9be5-4e6b-b51a-20dbc402fbc5,293043,T,W,2025-05-13,online
662062a0-08d0-4d67-ba9b-74bddfeed27e,169554,T,W,2025-05-13,online
1bc297f1-095e-4f86-b5d5-b8ce3617aaaf,379108,T,W,2025-05-13,online
1b06615b-d117-4c19-8aaa-4cb82987085f,474775,T,W,2025-05-13,online
