id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
5bf26837-dd47-4890-9263-df81b5b7a7ff,372628,T,W,2025-05-13,online
a3a75a4b-a148-4b81-84ca-d6a061dc7595,136052,T,W,2025-05-13,online
4f38eb87-a135-4b41-9482-66fc7117ce0c,153537,T,W,2025-05-13,online
a1f876c6-5c51-4f4a-a411-3135938fcc0d,356313,T,W,2025-05-13,online
969d53e3-7b07-4b6a-b0ff-6f8467a9d0bc,119961,T,W,2025-05-13,online
ca93f172-247c-4674-a39d-1f11a59c0d7e,17763,T,W,2025-05-13,online
166b3dfc-2ca0-42c1-88f1-807fb0a033c1,402335,T,W,2025-05-13,online
0a4c925d-b785-4ecb-b256-1a69fba91be2,381654,T,W,2025-05-13,online
ce6b74fd-f38e-4a70-a34e-ee59c1bc8487,351579,T,W,2025-05-13,online
5a9b82b3-4a6f-4501-a2b5-bc3ae1994dbc,375015,T,W,2025-05-13,online
8e9baf7a-b455-46e4-99da-9b033fbe4180,144529,T,W,2025-05-13,online
aceb2172-8080-4dca-a574-72f2b61c24a1,305848,T,W,2025-05-13,online
be951931-43a6-4a7b-9b46-5f5db3633320,106593,T,W,2025-05-13,online
faf701e3-fedc-49b3-b792-b8fd96925513,49145,T,W,2025-05-13,online
055e7679-a155-4806-8ada-dce1b8b76854,49786,T,W,2025-05-13,online
845ddb1b-9210-40c5-8171-fcfcd7688c25,10731,T,W,2025-05-13,online
b1aff4cf-5f01-4133-9869-9c25920e080d,97313,T,W,2025-05-13,online
dc217705-fd52-4138-bee8-20f09b57d562,124004,T,W,2025-05-13,online
3e6f09f0-4842-434c-9294-12d7a5238f22,365270,T,W,2025-05-13,online
2214d581-4553-49fd-b2fb-c001a5d6ca03,7929,T,W,2025-05-13,online
fcea5496-423f-4e69-ba0a-d89d676f8e00,211421,T,W,2025-05-13,online
eccaec05-ad1d-43c3-a336-ca7e45a44038,102230,T,W,2025-05-13,online
fb623780-24da-4f08-b0cf-8970c7d5f62e,364038,T,W,2025-05-13,online
cd10aa16-216b-46ea-bcc3-d8d7dd7fcb50,224659,T,W,2025-05-13,online
13531d9e-4527-42e5-9618-33c44f67f3bf,457068,T,W,2025-05-13,online
8d08101a-d6a2-4d3c-bb2c-604d5f38adc6,447417,T,W,2025-05-13,online
e3ed06db-f304-4e9e-bb2c-57d091f3582a,286894,T,W,2025-05-13,online
82093fa9-c1c4-468c-b471-c9e3303af789,47105,T,W,2025-05-13,online
92e51d93-40b4-4b0e-8078-1051f6be049d,17949,T,W,2025-05-13,online
e2fbbe5e-5ea6-48ef-9a73-84c2ca725482,299400,T,W,2025-05-13,online
385988ec-f1d6-4548-8d65-4c66f8f305ec,428471,T,W,2025-05-13,online
64ecbf2a-3afa-4a0e-8755-881651265e0c,420992,T,W,2025-05-13,online
a93a3544-5829-441e-8db6-15f99ed08dfe,262155,T,W,2025-05-13,online
1aea9ad9-a492-4e8d-b6e1-1259d0d8e14e,325624,T,W,2025-05-13,online
3c91d42c-80d2-491f-b59e-2d9cf5b4b1b7,122562,T,W,2025-05-13,online
9bdbc15d-6669-4a07-9c7c-39462f597a21,101511,T,W,2025-05-13,online
288b5e23-3fc6-4a26-b01e-3ca21f5f69fd,243626,T,W,2025-05-13,online
585dd0d8-d23c-4c55-8c3d-85e617267f03,426739,T,W,2025-05-13,online
9835df83-6e2a-4b69-aba3-1bb06dd6d9a8,150380,T,W,2025-05-13,online
f3ce2769-ef33-4b3f-9713-de80f08814b4,462968,T,W,2025-05-13,online
75d219b1-3530-4ab5-86fd-88b217f8340b,373114,T,W,2025-05-13,online
6ef6284c-d1b1-4bbb-8c23-f91542aa94a5,32213,T,W,2025-05-13,online
e74205c0-ed04-4901-a72d-61022a538413,290102,T,W,2025-05-13,online
cc835a9b-66e7-45aa-8179-6b3d90665f2b,437029,T,W,2025-05-13,online
25acc1d0-a2b9-4313-b0c3-39977641f6af,241848,T,W,2025-05-13,online
135a22e3-34d2-462a-94bd-0bc713859eec,264805,T,W,2025-05-13,online
4550ca82-75ca-4385-abd6-fe7acfa81d6f,162983,T,W,2025-05-13,online
e4203c39-9e54-4a9d-98e6-4eef6ee1160e,485615,T,W,2025-05-13,online
16ab5125-5be6-447f-b85a-a7b088406260,106571,T,W,2025-05-13,online
e32a2c2b-7b5a-4fc5-98f8-cbcb778a735c,217962,T,W,2025-05-13,online
9323fcb3-dcb8-44cd-a0b7-d1ecf86ab56e,248075,T,W,2025-05-13,online
d3f781fe-1d40-4f25-84f6-5ad44d7da9b0,149829,T,W,2025-05-13,online
d70afcd5-8cd2-4972-a066-d02eba7aef5a,1286,T,W,2025-05-13,online
ec79f885-9209-4c7f-8f24-af081dcfcd84,362317,T,W,2025-05-13,online
bcde2d83-4e4b-4007-8364-0703cd81baf0,355067,T,W,2025-05-13,online
bb03958e-926b-4e6d-946d-ae7f20f00b28,172342,T,W,2025-05-13,online
75b980bb-a7f6-44c5-8147-02b74225d5cd,351354,T,W,2025-05-13,online
776cbf38-48dc-4c4a-88b7-3ad553caf848,361898,T,W,2025-05-13,online
663e3b8f-112a-455d-9f71-4014f9b7bbac,329091,T,W,2025-05-13,online
c07d0d75-3571-44d0-8530-189a8059eeeb,193739,T,W,2025-05-13,online
7154d91d-565e-4832-afee-d46112f2d8b4,189163,T,W,2025-05-13,online
0912b39c-30c8-4283-85c8-d06e394836b1,244375,T,W,2025-05-13,online
dce3382a-6bde-46a3-b9d2-b0e1f43e3ab3,105444,T,W,2025-05-13,online
02b3a0a2-1b80-4084-b3a7-d20f593445d7,491724,T,W,2025-05-13,online
fa82f2c2-cedd-45f1-9972-26689d59500b,418259,T,W,2025-05-13,online
d0758b03-6994-4691-b505-23fbeda07017,380768,T,W,2025-05-13,online
ebf0d1a6-82b1-4603-9d27-7ab3f54a540e,456218,T,W,2025-05-13,online
c4e76a44-e9cd-4b29-94aa-215a4e8d266e,4357,T,W,2025-05-13,online
060e2430-1fea-40be-869c-ab8c2003b73c,350771,T,W,2025-05-13,online
5de24b37-e501-4f61-8dc6-d5e573fa0485,160370,T,W,2025-05-13,online
