id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
f57c2d4a-0315-4c4f-9ed8-6999bac941a4,23008,A,S,2026-02-02,online
437b4cd5-6180-4e7b-8b60-876c9dac8935,364824,A,S,2026-02-02,online
551d016d-fe3e-4d72-a606-dd64c6c16b31,138654,A,S,2026-02-02,online
5fdbefa5-4324-43fc-b922-a8abef1aa969,361297,A,S,2026-02-02,online
613f287d-c329-4037-86fa-c393e95b0c28,499745,A,S,2026-02-02,online
d7c42135-6055-42e7-a7e2-ac8b20abc870,345063,A,S,2026-02-02,online
25c11945-c50e-4a04-9ec2-bf26cce0a343,175202,A,S,2026-02-02,online
bd35a14a-8244-4afe-976b-57b70640438d,406656,A,S,2026-02-02,online
8f5731ab-8596-4d91-8500-d7813d170c9c,393415,A,S,2026-02-02,online
852059a5-ce12-4895-9772-2ad9da2ccabe,477456,A,S,2026-02-02,online
17dda440-218a-4119-a817-4fbe6a221f37,492532,A,S,2026-02-02,online
84ca7a5d-e057-4d42-990c-9aaf0394cabd,319992,A,S,2026-02-02,online
66dc641f-61f7-442d-be49-921d0a21b3a0,149325,A,S,2026-02-02,online
2a9e98b6-a168-43d8-adaf-43fa27030ff9,284354,A,S,2026-02-02,online
0133ff84-81aa-4899-bbdd-77f18cd3744d,214026,A,S,2026-02-02,online
b2f63e48-71d9-4b12-827a-2abb6c8e7665,10444,A,S,2026-02-02,online
46efd0e4-47b8-4e49-bce2-e72b3050d921,7708,A,S,2026-02-02,online
9bb7c582-7945-4d8f-9613-8e188eda460f,94372,A,S,2026-02-02,online
25a80f3f-5a57-4c53-973e-106d0012cd56,310919,A,S,2026-02-02,online
1bf65a18-5e51-4c31-a6d5-e6c67b872e54,189655,A,S,2026-02-02,online
3c071acd-7d29-437c-8f0e-a78ab6b5a8b5,237724,A,S,2026-02-02,online
d668634a-038f-494c-9d59-d87bdf11fa3a,261391,A,S,2026-02-02,online
674bcaf9-d33a-40b3-b8d6-db96b639c44b,246028,A,S,2026-02-02,online
514c292e-a418-4a24-8b1a-4cc3b133cf6f,241998,A,S,2026-02-02,online
590d9ba4-139b-48a1-a16e-5b75096aa7b7,235719,A,S,2026-02-02,online
87c4990a-c1ea-4a60-8e83-c0cfd3fd259d,329710,A,S,2026-02-02,online
f4df661d-509c-43ce-bc14-526b93bfdecc,233090,A,S,2026-02-02,online
6325d834-8c55-4a11-8d9d-e53d4df540b3,332270,A,S,2026-02-02,online
63bc4e4e-28b4-41c8-945f-c2f852e9f2d9,434965,A,S,2026-02-02,online
d8009ff9-2158-4870-982f-c6db38fc4ea8,158768,A,S,2026-02-02,online
796af34c-268f-47e0-b8be-34769a2d1eb1,131938,A,S,2026-02-02,online
