id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
d87aed81-dc3e-408b-abf2-4d648b2eb7e8,62017,J,M,2026-02-05,online
b7335074-e155-4a9f-b3ee-2c7859b6e5f7,456016,J,M,2026-02-05,online
8af120b9-206e-4bb3-b38b-f6728784e323,386951,J,M,2026-02-05,online
f43e38e8-ce1a-4697-ac3e-c2f0c3923257,151452,J,M,2026-02-05,online
15fe508d-0086-4c95-9d47-725d9e3ae27b,324136,J,M,2026-02-05,online
3e4d410f-e01a-48a1-ad9d-d731498e5d31,251749,J,M,2026-02-05,online
1d72512c-e54d-4664-bedf-a366d1d95050,56605,J,M,2026-02-05,online
5208996b-9f11-4da0-9652-d7af6d4bbf7c,478593,J,M,2026-02-05,online
2e9c9ba1-5161-458b-b6e5-66b4791d36cb,442760,J,M,2026-02-05,online
5841241a-03fd-4082-8704-899a7b03e7d2,417601,J,M,2026-02-05,online
c8112793-1b4f-42a1-becb-aafdfb07d802,263060,J,M,2026-02-05,online
e389076c-409e-435e-bf9d-04cbc5dd125d,330597,J,M,2026-02-05,online
ff9eb9c7-b29f-40c8-bc3b-40baa3f2293f,370756,J,M,2026-02-05,online
7932d039-af15-48b6-8f58-536864dbafcc,140288,J,M,2026-02-05,online
c2077e02-e074-4c94-be81-35e859327152,127971,J,M,2026-02-05,online
8d79b698-9545-4be9-9796-6ab37f2a22fe,26018,J,M,2026-02-05,online
3d347ce6-3fcb-4941-b53b-91476f00922c,113327,J,M,2026-02-05,online
7f412b8a-f61c-4698-89c8-20b23e5600fc,192235,J,M,2026-02-05,online
ab715092-1ec2-427c-924e-f58d80478fb1,348810,J,M,2026-02-05,online
a4ef8085-1281-4d36-b29d-4e93d9d94415,200363,J,M,2026-02-05,online
37baf755-c42c-479b-a2ed-3ca2fa48ba71,353640,J,M,2026-02-05,online
3c973b24-cbfe-4f79-bdc2-d00c1120eb30,188595,J,M,2026-02-05,online
4e68079f-af05-41f7-b27b-f4a5b6e8ddb5,81094,J,M,2026-02-05,online
a46589c4-7bf3-4b1d-9adc-2ed34eadb693,133660,J,M,2026-02-05,online
e47fcbbb-02d9-4e9f-92c9-5728c311a4a8,92355,J,M,2026-02-05,online
0a83c284-5302-4da1-ab64-1e6a857a0679,473115,J,M,2026-02-05,online
4d24baee-01c4-4bfe-bd8c-efbe15456f99,71091,J,M,2026-02-05,online
4a0af2f3-8a65-4738-9f68-25d160ce88c1,50397,J,M,2026-02-05,online
9c5bed83-e597-40dd-9ff4-bf9785f3ec98,218466,J,M,2026-02-05,online
953c0885-6423-4230-8cdb-c292edc4db34,279067,J,M,2026-02-05,online
a6f57ab6-6102-484d-876b-f5f9e932fdc1,339518,J,M,2026-02-05,online
20b0e099-2f0d-442c-9ed2-7431fa2a431b,99286,J,M,2026-02-05,online
3db44683-a5ae-4a46-99df-296bb51f19c9,435677,J,M,2026-02-05,online
e5e02203-795b-4ed5-946f-12d49b9041cb,86792,J,M,2026-02-05,online
4880c2d6-5efb-4a71-acbc-38e654fbfec1,85297,J,M,2026-02-05,online
d61d70f4-b78a-48fc-a305-cf63bd6b27f3,209092,J,M,2026-02-05,online
6bde44e5-e87b-4359-beb3-efa0042d69ee,6525,J,M,2026-02-05,online
853db235-ce24-4ddf-8d79-b73dad40b737,282793,J,M,2026-02-05,online
09b488b0-7294-4a52-9d83-0e3fd06a0265,117084,J,M,2026-02-05,online
6aff9631-e5b6-4530-b368-2091a2beb6a7,377840,J,M,2026-02-05,online
b6bf999e-3a0f-4c13-bc2e-7a5f4678adde,235913,J,M,2026-02-05,online
ba94e843-6f7e-427f-a735-6d1fec556578,412196,J,M,2026-02-05,online
6e09db55-5a89-40f7-9d82-a376cd6a52f0,159041,J,M,2026-02-05,online
a67ed427-1d7e-4ea6-af23-59bd05d35a0d,381118,J,M,2026-02-05,online
9487df01-776a-4b85-926c-9655e1add964,345872,J,M,2026-02-05,online
a04007f0-f311-4576-9283-82b091cf2da6,30816,J,M,2026-02-05,online
59e00fa6-6868-407d-a39b-9affaa32cd8c,86844,J,M,2026-02-05,online
9e6870f9-f595-4393-baaf-df1d18518189,377356,J,M,2026-02-05,online
2212df64-941a-4cc7-8469-2e943e0d3e4c,42242,J,M,2026-02-05,online
58b09e1c-b3da-47c4-bf46-8c51c40fcd45,427819,J,M,2026-02-05,online
fc688fa6-31dd-4e4f-800e-1181153da7be,321290,J,M,2026-02-05,online
421339f4-deaf-411c-8007-347baaec02f7,485818,J,M,2026-02-05,online
1003271b-e789-4b45-b081-9697b5bdabee,153879,J,M,2026-02-05,online
fef54c4a-1847-4c68-a0d5-5c890e62aca8,340080,J,M,2026-02-05,online
096ddf54-9884-463d-b445-571c4f3a0b6e,259715,J,M,2026-02-05,online
63baefd0-8d12-4fdd-b69a-38150d86f837,91655,J,M,2026-02-05,online
a5a46419-5012-43da-8a0f-6d46764c8012,81892,J,M,2026-02-05,online
0274dec1-66f2-42c7-96b5-766fd9e02c10,54001,J,M,2026-02-05,online
2d7e5a0e-eb34-40c0-92fe-722f144350cd,27277,J,M,2026-02-05,online
762efbc1-e99e-4944-804b-9fd17567b72e,338994,J,M,2026-02-05,online
4ebd43e8-832d-40fd-849b-5c175b67958d,280769,J,M,2026-02-05,online
55ad2769-9325-4126-9035-930424ba261c,59264,J,M,2026-02-05,online
90f03c93-62a0-42c9-b74b-25b2c6895d90,253526,J,M,2026-02-05,online
1d730157-d9a0-471c-a479-a1a57f50a7a9,396530,J,M,2026-02-05,online
ba98d462-f0aa-42b5-9c10-fb685ef89701,220578,J,M,2026-02-05,online
645dd644-5bf9-4d5f-b996-b61b2dae897e,354320,J,M,2026-02-05,online
b7415fa7-6bba-483a-abf1-1f2eb193b30d,400638,J,M,2026-02-05,online
e1ca3d50-30d4-4185-b4ce-4209c5baad65,359589,J,M,2026-02-05,online
32ca8a56-59fa-4fa9-b5d0-5bf93f459b47,369587,J,M,2026-02-05,online
be933802-cc66-4b71-b605-6dc99402b4be,67606,G,J,2026-02-05,online
1934f030-2b1e-477e-8eb3-7cf76e44fa34,419965,G,J,2026-02-05,online
0a845738-6111-429a-976d-5eb578f4730a,140490,G,J,2026-02-05,online
23e1361c-d859-4a91-b7c5-2641fe09cf75,343230,G,J,2026-02-05,online
2608ecfd-f166-4704-a053-a4ffe3455cc6,97005,G,J,2026-02-05,online
3280c86c-fc9f-48e3-b4a3-d81c58f7ce1f,107059,G,J,2026-02-05,online
b8c5f0bf-7d86-4de7-9292-fbd7ac8908d6,5853,G,J,2026-02-05,online
84302bce-7a9d-4412-8736-01ccb673b24b,399699,G,J,2026-02-05,online
63b9e8b5-53a5-49f4-8b1b-a58e64f842a4,82280,G,J,2026-02-05,online
aae332f9-af5f-4915-9f5a-f23d74d29799,394204,G,J,2026-02-05,online
de92fd13-9914-494d-a799-596d91fa7e64,463296,G,J,2026-02-05,online
91c446cb-d688-42fb-97b8-8f1b99f159fa,135913,G,J,2026-02-05,online
fe8d6fb7-2d99-44ae-8dbf-5a745f206ae2,436940,G,J,2026-02-05,online
ed8f6cf5-8c55-4ca3-961b-321215ec2e11,66294,G,J,2026-02-05,online
6617f12f-92ac-4279-8508-80e42a466bab,103870,G,J,2026-02-05,online
8927a45e-7b2c-4188-9291-390296b834d5,285896,G,J,2026-02-05,online
68915f24-bc07-42fb-b351-fc3d892336d4,195436,G,J,2026-02-05,online
dedb3ee9-4f74-4938-9260-db5456eb0c2f,7527,G,J,2026-02-05,online
2ce1a925-2ea9-4b83-aa24-affc7fe829d8,302228,G,J,2026-02-05,online
dc8a4bde-ef2d-452d-9ea7-c73d5aad305e,84760,G,J,2026-02-05,online
7376c0ba-8b92-459b-a7d9-5c2eb847300a,162453,G,J,2026-02-05,online
89cc1a4c-b256-4870-858e-c3cd2b8365b0,216906,G,J,2026-02-05,online
d7fa8180-c9d7-4405-9868-3d30001e483d,466636,G,J,2026-02-05,online
66484c77-01bb-4c20-a4a2-3cc5534b2f46,312398,G,J,2026-02-05,online
1d5846ef-b691-4c85-9b14-798bf9ad8654,49910,G,J,2026-02-05,online
1b8ea618-314e-4932-9c4e-409a6b80414c,414429,G,J,2026-02-05,online
cec93728-d604-42a1-9b9b-ce2ef73303fb,415417,G,J,2026-02-05,online
ef0c93ce-3975-4d40-bcaf-2b9e68d14ce7,253886,G,J,2026-02-05,online
aa6684cc-4e83-4799-8a4a-175aa6a8f1bd,457164,G,J,2026-02-05,online
d6cecb54-abac-4055-8190-ca6e6f702501,147241,G,J,2026-02-05,online
