id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
5bb6a19d-f45a-4ee5-bfcf-e16eafac6cd3,53281,A,C,2026-02-04,online
b19e88b0-c38a-4b81-b369-969f45b22d52,170288,A,C,2026-02-04,online
7e4c4cde-5480-4790-abea-8a6ff56fc33c,93601,A,C,2026-02-04,online
db89aece-e2e5-4295-adf1-572d5504aeac,475424,A,C,2026-02-04,online
10b4e3b3-6005-48ac-9ca9-35853da20e5d,21025,A,C,2026-02-04,online
53dc8d90-aece-4b1a-b4e7-b0f03643439c,409795,A,C,2026-02-04,online
028dc5f7-e69d-4caa-81e6-a3a317a4ad0b,102127,A,C,2026-02-04,online
8bd2d928-4a68-4bcf-93e1-c9fee0109aa8,414909,A,C,2026-02-04,online
fca39f6d-ae50-456c-947c-977b214f69a5,89435,A,C,2026-02-04,online
61388423-d8cf-4d90-b398-70e9e9d89fb7,6512,A,C,2026-02-04,online
0524b27b-e8a4-43da-bf2f-0108593439f0,396634,A,C,2026-02-04,online
ba60197f-a926-4c2a-ad81-fe21bef8a0c2,245904,A,C,2026-02-04,online
6f35254e-2aa4-47fb-ac72-237f2443ce02,244200,A,C,2026-02-04,online
1b12d78a-65ef-46e3-9882-3a2e1ff13629,277132,A,C,2026-02-04,online
c3db4113-d156-4ad0-bf09-bda63502b937,91179,A,C,2026-02-04,online
74fbf01a-1841-499a-911a-dc7ca39c8102,12670,A,C,2026-02-04,online
c32b240c-904b-4eca-a6ff-53e0d3fecddf,328157,A,C,2026-02-04,online
a877e5d2-2305-40cb-be39-ba4981a4fbac,334798,A,C,2026-02-04,online
55c8ee1c-e6dd-4dda-811b-92511df65bed,337966,A,C,2026-02-04,online
3f1eecce-3da0-44be-82a1-26ca43b7ea8f,236186,A,C,2026-02-04,online
ab8d9677-692c-4184-a77a-cd349c079e51,160535,A,C,2026-02-04,online
2eadb53f-70c5-4d03-9c7c-f2f4834ae51f,152110,A,C,2026-02-04,online
bdce8814-e73e-41a7-9610-bc92f461e4a6,416572,A,C,2026-02-04,online
cbbba1e8-8dc0-4910-821e-e71a988ea8f0,424777,A,C,2026-02-04,online
a19d2b00-c22b-4356-a017-7564da41304c,190458,A,C,2026-02-04,online
46fe7cbf-f024-4b92-a966-2b7f0e5dfc52,382614,A,C,2026-02-04,online
c777c619-6647-48e1-8e6b-7d2e41afa5a9,449929,A,C,2026-02-04,online
38e2b69d-df77-4d46-b94c-3fe8e6104f46,421844,A,C,2026-02-04,online
77ae1fb1-d1f5-49a6-b2ed-9b772b97c6a9,358848,A,C,2026-02-04,online
22f0dc01-bf2b-45f1-a5eb-e6a158e7468f,133642,A,C,2026-02-04,online
d238bbc3-79d4-4908-bb0c-b4503bfb375b,471684,A,C,2026-02-04,online
0a45a391-3b2d-4e50-b539-c501324aa8c8,446282,A,C,2026-02-04,online
57d745f8-e635-461e-8bf1-b3fb27dd5552,323807,A,C,2026-02-04,online
7c8d2ca2-211c-4e73-94bd-3d81541cdea3,358369,A,C,2026-02-04,online
af795bae-28db-477a-acbd-e5db2e8e2b8d,10074,A,C,2026-02-04,online
ddb51855-7382-4db2-ac98-81244d223c61,307552,A,C,2026-02-04,online
37659eb3-dcd2-401d-b566-8e622249cd1d,251664,A,C,2026-02-04,online
68d8afca-33da-4f05-bce9-219775ce51db,358389,A,C,2026-02-04,online
5d5d3de1-290e-4df1-93f8-87e30022e963,57914,O,T,2026-02-04,online
3444a506-ac10-4a3b-be65-784fe01fdbae,30337,O,T,2026-02-04,online
b7f6b340-e364-48e7-91ab-a5817cb81e81,221456,O,T,2026-02-04,online
91565ba8-9d80-4f0e-a1b9-8061ad5f6748,407186,O,T,2026-02-04,online
9543daf6-55de-45d3-829e-4ff9418144c9,10793,O,T,2026-02-04,online
ea7b1d27-87af-4f4b-87e3-8ad3357c9589,475565,O,T,2026-02-04,online
454480e0-e42f-4ee0-9c70-28dd1633f2be,107865,O,T,2026-02-04,online
73ae6cba-6697-4bd3-affc-1761c2266866,125494,O,T,2026-02-04,online
2d3f82d0-4363-454d-86d2-0e5567066ee1,424288,O,T,2026-02-04,online
3f22bce0-838b-4dfe-823f-4a028483fa70,247847,O,T,2026-02-04,online
d12512f3-2368-4da6-a44f-7def6513cab1,256240,O,T,2026-02-04,online
96ed43cb-9350-432b-91a3-31c71cb05448,447624,O,T,2026-02-04,online
95db47d9-7fa9-4e58-8a09-c0a72137212e,291987,O,T,2026-02-04,online
59408644-3765-4f17-96d4-b1509fcbcff2,124962,O,T,2026-02-04,online
238f2e2b-acae-4feb-915d-b145483ab976,379901,O,T,2026-02-04,online
e6380e9e-02fd-4f70-b913-abde0857fffa,89424,O,T,2026-02-04,online
cd602242-5d11-4ab2-bff9-2925b255307c,355678,O,T,2026-02-04,online
8c2bc31a-d610-4ea8-8cfd-92cf98103af8,393660,O,T,2026-02-04,online
0ea3a3c7-ac7d-4779-8d56-dc66ab9dde59,339581,O,T,2026-02-04,online
75f27629-43e9-4f4a-b441-5be3b73a8cb8,201727,O,T,2026-02-04,online
188ebf5f-6471-40e7-8567-7f0e2cb58040,63449,O,T,2026-02-04,online
8d76720c-4fd9-44f8-888d-58de365da581,422337,O,T,2026-02-04,online
5dc5f89d-b297-4c43-b7d2-13c03b582f09,10387,O,T,2026-02-04,online
1c23e27b-92a4-4b5b-8a2a-60ca8766efc8,243731,O,T,2026-02-04,online
c53f4095-3a0d-4261-91da-95842c954650,111759,O,T,2026-02-04,online
de0c23db-60f3-4a26-817c-863abc4ff3d2,33482,O,T,2026-02-04,online
5724fb45-9674-42e8-9a7f-d119dd5d3143,407183,O,T,2026-02-04,online
834f7572-3b70-4d0b-81ac-32ea0982380a,284624,O,T,2026-02-04,online
e0d81fcb-25db-4082-ae4e-65b5dc530893,430377,O,T,2026-02-04,online
2c1dcbaa-363a-44c4-b7ea-6d3aa270a153,82689,O,T,2026-02-04,online
5365b2d9-965a-4f86-ae65-b0fe2c4e602f,345274,O,T,2026-02-04,online
ca66e100-3c48-4597-ae32-de89eb309956,459308,O,T,2026-02-04,online
cbdf5230-2e40-4632-90f0-5e9c005fd709,202380,O,T,2026-02-04,online
c226af8b-3c5e-49a1-af66-6a5940f9056d,314630,O,T,2026-02-04,online
371b39ee-4588-499d-b978-d209f6946212,324996,O,T,2026-02-04,online
4f3554aa-970b-4369-9826-207643dbc869,136631,O,T,2026-02-04,online
dff4bce2-6d52-4354-94ab-ca359df1b084,338930,O,T,2026-02-04,online
3b4e9255-2710-471d-8286-161b0c07094f,391644,O,T,2026-02-04,online
e297342c-1b54-4730-aa62-1289a5482fb2,421551,O,M,2026-02-04,online
7a9f7a22-8939-4ce3-a46d-4d539685463b,217769,O,M,2026-02-04,online
377b0131-7ce5-424a-8bff-accc57315dd3,117345,O,M,2026-02-04,online
c0c8fe40-dfb9-4ab0-b5e9-6349dc7d11c1,26770,O,M,2026-02-04,online
cf9ce868-6c3e-44d5-95ef-44c024c6fc82,352487,O,M,2026-02-04,online
abe59604-f690-465f-a9f1-b76c45a40881,228535,O,M,2026-02-04,online
48b61bf6-74c0-4dae-826b-b5c8b6ea124c,422517,O,M,2026-02-04,online
94625ae1-337a-456b-87c8-1bd812cca63d,370370,O,M,2026-02-04,online
4aa14e01-e9b8-4505-a99d-c9ed2d8f5a54,71130,O,M,2026-02-04,online
652dad78-1c5d-40e4-83c7-3234e69e3295,377171,O,M,2026-02-04,online
f54dd348-4284-4a5e-87c4-74052b9c98d8,139793,O,M,2026-02-04,online
1c02577d-8341-4f8f-be93-e79955850d59,498798,O,M,2026-02-04,online
0df3b6b1-08f9-4115-a394-af7848cccde0,401979,O,M,2026-02-04,online
4cfd9bde-29d1-41b6-9125-0bd4e753c90f,241891,O,M,2026-02-04,online
20b602d9-d6d0-4af9-b838-b110943fdd1f,148229,O,M,2026-02-04,online
ef1953b5-741b-4d02-9dcd-6f18cb31ba67,77751,O,M,2026-02-04,online
e42f20fb-3766-4781-91c3-ab352c3ec6da,248549,O,M,2026-02-04,online
87216840-9371-4ab7-b129-50072b04abc7,25083,O,M,2026-02-04,online
041c9df9-d64a-44a7-bc9a-3dc9882dbb3b,118338,O,M,2026-02-04,online
3b0c5e41-690f-4183-bd6d-5f309a57b4cc,70034,O,M,2026-02-04,online
92b4fba6-00a0-4326-8499-4caa9df2cdf3,12084,O,M,2026-02-04,online
81697456-7f7f-4c43-9597-5ad44f14cf1f,484396,O,M,2026-02-04,online
6289bebf-9a7e-4711-a5d1-b8509db57f8e,422234,O,M,2026-02-04,online
36cf77f6-5238-4dbc-8426-b047c0548723,165777,O,M,2026-02-04,online
8a6bd4c3-efb6-4769-a935-c377075fe750,271659,O,M,2026-02-04,online
57f83833-aa25-4920-96f0-82ceef86cc60,339997,O,M,2026-02-04,online
281ea1a6-4aaa-46cb-a88e-bb96f6d19efd,451668,O,M,2026-02-04,online
2cf6955a-273f-4183-8481-3700648546d3,179477,O,M,2026-02-04,online
9f053d07-39bc-481c-bbe4-744cd88dcf2a,45071,O,M,2026-02-04,online
c9835bf0-4d00-476b-a768-2f8875e0aa49,269058,O,M,2026-02-04,online
7f1ba478-8ce8-48d4-a293-71c1198143bd,172646,O,M,2026-02-04,online
72556ae3-eaad-42ab-9263-677323fe1f2b,220129,O,M,2026-02-04,online
15b4bdf7-6372-45a5-9bc8-79a856bacbae,70766,O,M,2026-02-04,online
1954c09d-0816-4e9f-a3ed-3d926792fd0e,402412,O,M,2026-02-04,online
ded5864b-b085-4dcd-bab1-ae49c96dc127,337081,O,M,2026-02-04,online
23f05ecf-1a2b-4beb-8742-b68c60a8ee4a,91099,O,M,2026-02-04,online
91e52564-20eb-4d28-bdbe-fcc485ae596c,337099,O,M,2026-02-04,online
31173643-c559-4183-87a7-7e7ae558e2c9,185397,O,M,2026-02-04,online
1daa7f77-1d8f-453b-a487-348dafbf663c,213711,O,M,2026-02-04,online
