id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
87a67d51-7a13-41cb-8f18-c9bb0683b61f,204010,A,T,2026-02-06,online
bca3d8ee-970f-4e39-aa5c-c9c207a68c7a,278593,A,T,2026-02-06,online
5f2a4a70-b6a6-4660-87fa-733066c5738f,373027,A,T,2026-02-06,online
a817aab9-dc40-4cbd-a9e7-4cb4cad4bd19,487867,A,T,2026-02-06,online
f45823e5-c5d6-4016-a624-ef2b622fd2c3,105774,A,T,2026-02-06,online
a7d2d929-80b4-4528-ade4-9dabb56a1268,491557,A,T,2026-02-06,online
4de00179-8305-475d-be6e-bfb35161e0ea,100127,A,T,2026-02-06,online
6943f9a4-f104-4090-89cc-480c0e513aa9,65682,A,T,2026-02-06,online
b2d3750d-b3c6-4aa0-9a71-f4d7c4cc2f5e,384108,A,T,2026-02-06,online
6daccd8e-c6a2-433f-9f67-5c8ccab8b4ac,330524,A,T,2026-02-06,online
bea40db1-1325-4c8c-a732-7f49a968286c,355607,A,T,2026-02-06,online
af8efeab-a9c4-440a-9d1b-6e71306cf1e5,468382,A,T,2026-02-06,online
fb78c01d-618e-4eea-b2f5-0e96408a4539,478118,A,T,2026-02-06,online
2687843e-62af-46ae-8c56-80c53dd62a94,378646,A,T,2026-02-06,online
7dca1745-cba0-4d96-94e1-bc4264efc937,399751,A,T,2026-02-06,online
34edb6bc-3472-4bf3-aeee-094c618fa763,435808,A,T,2026-02-06,online
0d7bdd95-cb3e-42c5-9e94-e303b7b0f8e4,370693,A,T,2026-02-06,online
887f78bf-7b74-4bb6-908a-9d24a2c18054,287708,A,T,2026-02-06,online
17b395b1-4679-4ed8-a0da-dcfe6f208c9d,33821,A,T,2026-02-06,online
aea8d162-752c-4eda-8941-1671a4914de6,447176,A,T,2026-02-06,online
87e38873-3b34-4c0b-800d-bb4ecdbba799,329456,A,T,2026-02-06,online
9973bd9b-206d-4d94-8f49-c67ca0daddee,238120,A,T,2026-02-06,online
c210445e-1611-408e-b6d3-32ff5f1bf048,419821,A,T,2026-02-06,online
2cde10ce-7486-42c4-9057-9d533964c044,93256,A,T,2026-02-06,online
384b19e2-41bf-4b99-a6f1-0f0fdd48c0c0,441020,A,T,2026-02-06,online
ea43818d-793c-43a9-b740-c370632c6363,40696,A,T,2026-02-06,online
aee53b15-406f-4adb-8a77-bfe6318d1430,191040,A,T,2026-02-06,online
a632a2cf-d38e-4fa5-974d-e2d58344dcfc,443448,A,T,2026-02-06,online
e3b4a587-1d64-4df8-825d-63e6524414a4,447686,C,H,2026-02-06,online
9b2ca4c4-ecde-406d-9fc5-e53e6b192540,446564,C,H,2026-02-06,online
d948b604-8e8e-4a43-841c-3343634b4e97,146069,C,H,2026-02-06,online
a1263b5c-b56d-4495-948d-f6b6bc05a2d0,482808,C,H,2026-02-06,online
a981490e-52ba-481a-9ffe-3532e73484ba,87330,C,H,2026-02-06,online
7cdcd6a2-73c3-4779-968f-ad237aa7a1b2,239980,C,H,2026-02-06,online
ffd0a3db-7c03-4cf8-b771-fa23ef6e6370,296292,C,H,2026-02-06,online
e6e399c7-0d78-4f60-b66c-9c5a911fa2a2,122159,C,H,2026-02-06,online
f7243bb6-28a5-49fd-8623-1e3d3a296ec6,269381,C,H,2026-02-06,online
f7b4c094-20a9-4564-b5fc-0576d6798725,42812,C,H,2026-02-06,online
e24a2f9f-7ef9-4380-96fb-5edec9e2fbca,381231,C,H,2026-02-06,online
9a04c31a-33c8-42fd-a401-2b2df408119f,202194,C,H,2026-02-06,online
e0979fa4-89ae-454a-9c2b-a68c02170c24,289216,C,H,2026-02-06,online
5e79d38f-a8a1-4e65-b017-09813674977b,109772,C,H,2026-02-06,online
efaa9252-b0ad-4bcc-b7dd-02d352c50ae5,300335,C,H,2026-02-06,online
848b76b2-c31d-4713-a2a3-9522e4c584b3,422665,C,H,2026-02-06,online
6871595a-e6fc-432d-a7b6-fb3d4c791409,396629,C,H,2026-02-06,online
88305082-8aba-4011-9f84-f7e6b74551fd,467696,C,H,2026-02-06,online
446e8a7e-0f00-487b-86e3-0fb575d9e962,473768,C,H,2026-02-06,online
3e1e7ba9-8beb-4025-aaf2-a1d0fa535158,82170,C,H,2026-02-06,online
ab321de8-452f-470e-abc6-1fe0fc1c2348,329516,C,H,2026-02-06,online
81463471-0f19-4cfe-a5b4-51f73528f384,213989,C,H,2026-02-06,online
03cb6e0b-f48e-4bdb-b6c9-98955e54b6be,407772,C,H,2026-02-06,online
7c1aeda8-9d74-4f35-9783-9b4c76c2ca71,277221,C,H,2026-02-06,online
e29057ae-e09b-4574-8858-b073489348de,185744,C,H,2026-02-06,online
babbcd9d-f757-4f50-8433-f9a46a2805ee,230629,F,W,2026-02-06,online
816afd38-a460-447f-b5b3-65d8f89f1c96,354821,F,W,2026-02-06,online
2cb16d8b-d48b-47cc-9bc4-5d3470830e92,349856,F,W,2026-02-06,online
c45e1387-ba16-4ccc-8a61-7b4c960f76b4,97029,F,W,2026-02-06,online
5a8a7f6b-4731-42ee-8ab9-159d142fad84,474918,F,W,2026-02-06,online
3b7660df-1a53-454b-a50e-41c42808f956,293063,F,W,2026-02-06,online
84eaa958-1299-4f05-9682-6049e603296e,22232,F,W,2026-02-06,online
c109743b-0fe3-466d-833b-12ee86ecbd2c,407788,F,W,2026-02-06,online
bcf31154-36fd-40bc-a8b3-3ad31962ff8c,156576,F,W,2026-02-06,online
e31b0b60-af96-452a-91f4-153ec97f5014,154214,F,W,2026-02-06,online
db4633bd-6e49-44ba-85ba-a6c77fe1d062,420996,F,W,2026-02-06,online
f4cf7ebf-f4b0-47a3-8b94-2cf6bff19b3b,361984,F,W,2026-02-06,online
6137528f-5453-42ba-9df6-fbdd15997e9f,346706,F,W,2026-02-06,online
4fe63c74-8475-4fef-a424-de1d6beb5c5c,66996,F,W,2026-02-06,online
b1fd6ac3-eaf1-4a67-8189-25b0036f9e6d,409662,F,W,2026-02-06,online
7011dc46-3bd7-4a3c-8751-ba6fbe231155,418112,F,W,2026-02-06,online
268a9635-96bb-4801-845a-61c33f76531c,282726,F,W,2026-02-06,online
0f4694c0-9687-4c03-ac99-c560d5d76087,350894,F,W,2026-02-06,online
acc6a5b6-5ae2-4fa4-8db8-0c2c619c9d84,365533,F,W,2026-02-06,online
6a239b07-3f4c-4988-a590-fb812d802b3f,419978,F,W,2026-02-06,online
361265b3-c3d8-4c14-9542-394db33cd200,60058,F,W,2026-02-06,online
d116352c-52f4-4725-befb-6e87e5292296,486975,F,W,2026-02-06,online
ff11490a-ca34-4432-8dad-16d03b526fd4,96839,F,W,2026-02-06,online
fb7f9777-3eb1-4220-aea1-065c5e0ba6ff,150159,F,W,2026-02-06,online
6557b3ff-8ad7-4cae-be63-56e28713e9d7,203296,F,W,2026-02-06,online
34b98809-83f5-4b4f-8d6c-8a3df738142e,273622,F,W,2026-02-06,online
a2dc65ea-9e4d-4cdc-a130-c924a93e9b5a,133263,F,W,2026-02-06,online
26840a5e-c43a-47fa-92db-aca42530e4d7,286968,F,W,2026-02-06,online
e414b7ee-bb79-44c2-8cac-ca623f90bf7c,471706,G,H,2026-02-06,online
3b703d0a-63b3-4c7c-8506-ba9f22422b45,11080,G,H,2026-02-06,online
