id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
fc8fc732-a3cc-41c0-89a7-1f892dc03cfb,355959,E,D,2026-02-05,online
e092d5ad-a2c5-4b2f-a9bb-c7a32b252911,28246,E,D,2026-02-05,online
bd9903f1-3cb5-4f4b-826c-8383ea125322,56821,E,D,2026-02-05,online
b16b17d6-f84f-4c8f-bea7-7011ba37dcce,140261,E,D,2026-02-05,online
a4819c1b-a8d9-4367-859b-61ffbdbc803b,185875,E,D,2026-02-05,online
d6c35619-65fc-4bc2-8d0a-a693be05094a,3379,E,D,2026-02-05,online
ec021164-2147-49c7-8f18-308432f39f56,98314,E,D,2026-02-05,online
485626ec-db97-499b-9906-af8fdd5cc934,132042,E,D,2026-02-05,online
2eca0a80-9c8e-4dd3-9c13-ddb8c20d2ac0,417699,E,D,2026-02-05,online
d1ea7f65-6987-4c83-9779-e354f9823dbc,213724,E,D,2026-02-05,online
eaae8757-e49d-429d-a9f5-67f0078c98de,263843,E,D,2026-02-05,online
d0163c2a-4c0c-42c5-b4d0-241a9f34a702,457524,E,D,2026-02-05,online
afb5e8fb-649f-44f4-a83f-61f41eaf3076,273004,E,D,2026-02-05,online
bed571c1-ebd7-4fe9-921b-551edda97578,306283,E,D,2026-02-05,online
ea234e07-b7fd-4796-bd58-9e5ed2a24ab8,146880,E,D,2026-02-05,online
dd5d0bec-6a69-4a02-8f53-03d8ce36a341,498069,E,D,2026-02-05,online
571bd071-1b3d-483f-a804-be58f9b47075,133128,E,D,2026-02-05,online
ba7a4026-3c1f-4aee-8639-6494e676f446,222924,E,D,2026-02-05,online
c8792066-0a2e-4aa3-859e-8d22e88b30c0,279781,E,D,2026-02-05,online
fcb198ff-a26c-4c55-af1f-48a6918cc92c,388101,E,D,2026-02-05,online
678417d9-8c1a-4988-8d1e-0d821f006a07,38527,E,D,2026-02-05,online
720a5cd3-6176-4118-a57a-a05fd1144b03,221419,E,D,2026-02-05,online
a706e9cc-b020-4e66-91b2-a9ba99bbb4cb,205395,E,D,2026-02-05,online
13f82c50-1655-4b25-958a-afe2c521e9d1,445951,E,D,2026-02-05,online
cb4d170b-2a94-41fb-a419-05e4238b3507,107279,E,D,2026-02-05,online
4b4cda35-b259-4f38-af0f-514d742daf09,312461,E,D,2026-02-05,online
b90487c2-67a2-4d01-b6ac-90f90c9af733,191556,E,D,2026-02-05,online
e418d507-c329-4cbc-a3d8-67d95426a2c6,463365,E,D,2026-02-05,online
f752c4c8-7b26-4eb5-96e1-ff85bf8da2ff,133862,E,D,2026-02-05,online
8a6f9b76-b269-476f-97af-098b7973aeb4,105599,E,D,2026-02-05,online
07273466-b882-455d-a8d6-0e5ac147e561,139898,E,D,2026-02-05,online
573696d0-70a6-43fe-81c1-dd668c283ad2,300920,E,D,2026-02-05,online
ee1e9b09-c116-4ac1-a81c-9141bd497f95,492562,E,D,2026-02-05,online
b28de865-a01b-43ae-828f-0e94cd832a05,370664,E,D,2026-02-05,online
